Study ID,,author,,data source,diag_defn,diag,bronchod,sample_size,case,risk factor,risk_fac,reference group,effect estimate,uni_odds_ratio,uni_lower_ci,uni_upper_ci,Self-calculated,multi_odds_ratio,multi_lower_ci,multi_upper_ci,Variables adjusted for,case with exposure,case without exposure,control with exposure,control without exposure
65,Backman 2016,Backman et. al. (2016),https://dx.doi.org/10.1016/j.rmed.2016.10.005,original,gold,rsp,no,726,76,bmi,obese,normal 20-24.9,OR,2.6,1.3,5.2,no,1.52,0.87,2.65,"age>60, current smoker, pack years >20, occupational exposure to gase, dust, Manual workers in industry, ischemic heart comorbidity, any heart comorbidity, diabetes, rheumatic comorbidity, hypertension, obesity,overweight and/or obese",,,,
65,Backman 2016,Backman et. al. (2016),https://dx.doi.org/10.1016/j.rmed.2016.10.005,original,gold,rsp,no,726,76,bmi,overweight,normal 20-24.9,OR,1.8,0.9,3.3,no,,,,"age>60, current smoker, pack years >20, occupational exposure to gase, dust, Manual workers in industry, ischemic heart comorbidity, any heart comorbidity, diabetes, rheumatic comorbidity, hypertension, obesity,overweight and/or obese",,,,
65,Backman 2016,Backman et. al. (2016),https://dx.doi.org/10.1016/j.rmed.2016.10.005,original,gold,rsp,no,726,76,comorbidity,cvd,,OR,2.7,1.5,4.9,no,1.6,0.84,3.04,"age>60, current smoker, pack years >20, occupational exposure to gase, dust, Manual workers in industry, ischemic heart comorbidity, any heart comorbidity, diabetes, rheumatic comorbidity, hypertension, obesity,overweight and/or obese",,,,
65,Backman 2016,Backman et. al. (2016),https://dx.doi.org/10.1016/j.rmed.2016.10.005,original,gold,rsp,no,726,76,comorbidity,diabetes,,OR,4.3,2.1,8.7,no,2.39,1.08,5.27,"age>60, current smoker, pack years >20, occupational exposure to gase, dust, Manual workers in industry, ischemic heart comorbidity, any heart comorbidity, diabetes, rheumatic comorbidity, hypertension, obesity,overweight and/or obese",,,,
65,Backman 2016,Backman et. al. (2016),https://dx.doi.org/10.1016/j.rmed.2016.10.005,original,gold,rsp,no,726,76,comorbidity,hypertension,no hypertension,OR,2.4,1.5,4,no,1.55,0.89,2.72,"age>60, current smoker, pack years >20, occupational exposure to gase, dust, Manual workers in industry, ischemic heart comorbidity, any heart comorbidity, diabetes, rheumatic comorbidity, hypertension, obesity,overweight and/or obese",,,,
65,Backman 2016,Backman et. al. (2016),https://dx.doi.org/10.1016/j.rmed.2016.10.005,original,gold,rsp,no,726,76,gender,male,female,OR,1.4,0.9,2.3,no,,,,"age>60, current smoker, pack years >20, occupational exposure to gase, dust, Manual workers in industry, ischemic heart comorbidity, any heart comorbidity, diabetes, rheumatic comorbidity, hypertension, obesity,overweight and/or obese",,,,
65,Backman 2016,Backman et. al. (2016),https://dx.doi.org/10.1016/j.rmed.2016.10.005,original,gold,rsp,no,726,76,smoking,current,non,OR,1.5,0.8,2.9,no,1.71,0.85,3.44,"age>60, current smoker, pack years >20, occupational exposure to gase, dust, Manual workers in industry, ischemic heart comorbidity, any heart comorbidity, diabetes, rheumatic comorbidity, hypertension, obesity,overweight and/or obese",,,,
65,Backman 2016,Backman et. al. (2016),https://dx.doi.org/10.1016/j.rmed.2016.10.005,original,gold,rsp,no,726,76,smoking,ex,non,OR,1.3,0.8,2.1,no,,,,"age>60, current smoker, pack years >20, occupational exposure to gase, dust, Manual workers in industry, ischemic heart comorbidity, any heart comorbidity, diabetes, rheumatic comorbidity, hypertension, obesity,overweight and/or obese",,,,
255,Domingo-Relloso 2022,Domingo-Relloso et. al. (2022),https://dx.doi.org/10.1186/s13148-022-01294-8,Strong Heart Study cohort,gold,rsp,no,1677,229,comorbidity,tuberculosis,no prior TB,OR,1.29,0.86,1.94,yes,,,,,34,195,132,964
255,Domingo-Relloso 2022,Domingo-Relloso et. al. (2022),https://dx.doi.org/10.1186/s13148-022-01294-8,Strong Heart Study cohort,gold,rsp,no,1677,229,gender,female,male,OR,1.42,1.05,1.93,yes,,,,,160,69,680,416
